record_type,domain,contrast,UKHLS_estimate,UKHLS_ci_lower,UKHLS_ci_upper,HRS_estimate,HRS_ci_lower,HRS_ci_upper,direction_agreement,UKHLS_minus_HRS,difference_ci_lower,difference_ci_upper,difference_bootstrap_success,Q,I2,replication_type
trajectory_contrast,widowhood,acute_pre1_to_event,0.5191595578962696,0.4475217112829777,0.5909570237665371,0.3148007104092969,0.2881667223752648,0.341106673432286,True,0.2043588474869726,0.1204235696167499,0.2787746613779009,500.0,25.850042248989197,0.9613153436900436,harmonized_domain
trajectory_contrast,widowhood,persistence_pre1_to_year2,-0.1883969844962399,-0.2597052364759271,-0.1120099914516274,0.0464911125102155,0.0160470050142846,0.0775979965852401,False,-0.2348880970064555,-0.3140143673672158,-0.153929619274607,500.0,32.01295728258381,0.968762648474715,harmonized_domain
trajectory_contrast,widowhood,persistence_pre1_to_year4,-0.2362554207598881,-0.3278249504411336,-0.1535315265085213,-0.0257357914698196,-0.0586768907441034,0.0057076432827044,True,-0.2105196292900684,-0.3025744702260665,-0.1177561123438326,500.0,19.661403041650356,0.9491389298168794,harmonized_domain
trajectory_contrast,unemployment,acute_pre1_to_event,0.3167028293272089,0.2768277533956729,0.3544035572912187,0.1027034572793466,0.0630910692628929,0.1411835776694097,True,0.2139993720478622,0.1581260557590495,0.2723726319209338,500.0,56.63260639546053,0.9823423277922776,conceptual
trajectory_contrast,unemployment,persistence_pre1_to_year2,-0.0466920091969179,-0.0992753224274714,0.0021709229856084,0.0010670600335464,-0.0409441702359623,0.0464060597014308,False,-0.0477590692304643,-0.114203609502016,0.0197841948620476,500.0,1.981973066664474,0.4954522759065883,conceptual
trajectory_contrast,unemployment,persistence_pre1_to_year4,-0.0341795616084037,-0.0877069789261613,0.0203794008297556,-0.0417430510387081,-0.0913243451111978,0.0040140869424948,True,0.0075634894303044,-0.0655857390264383,0.0806204359206999,500.0,0.0400043079404042,0.0,conceptual
trajectory_contrast,caregiving,acute_pre1_to_event,0.0530576519737487,0.0398433085072225,0.0661415672434811,0.0597884408139405,0.0299286109174463,0.0874803237282081,True,-0.0067307888401917,-0.0375248959494143,0.0235113899203012,500.0,0.1700760136656357,0.0,conceptual
trajectory_contrast,caregiving,persistence_pre1_to_year2,0.029162674633453,0.0149675697126956,0.0456445240828306,0.0199439770604049,-0.0111020434097969,0.051487723027446,True,0.0092186975730481,-0.0247158265026694,0.042410387369183,500.0,0.2796282605366199,0.0,conceptual
trajectory_contrast,caregiving,persistence_pre1_to_year4,0.0399850839629654,0.0176269198096387,0.060900863147169,-0.0532693211839147,-0.0874496153987879,-0.0238659462601622,False,0.0932544051468801,0.0535887555672587,0.1331355818593896,500.0,21.01610062764094,0.9524174337705268,conceptual
trajectory_contrast,health,acute_pre1_to_event,0.1262230141840845,0.1106953454569029,0.1425508395815372,0.2389212915137853,0.2138391152802347,0.2668346052663612,True,-0.1126982773297008,-0.1425712194758727,-0.0832537089848639,500.0,51.71237714104512,0.9806622697449684,conceptual
trajectory_contrast,health,persistence_pre1_to_year2,0.0822887828925879,0.0655735374920449,0.0998825787432256,0.2752851304037146,0.2429104597460558,0.3038822798144449,True,-0.1929963475111267,-0.2255244450847369,-0.1529723854165385,500.0,114.04676720929405,0.9912316672846602,conceptual
trajectory_contrast,health,persistence_pre1_to_year4,0.0949053017892219,0.0751361021799854,0.1169878517149684,0.1796917570089642,0.1449546461401565,0.2145498551500849,True,-0.0847864552197423,-0.1271797286072401,-0.0428016058313828,500.0,15.75278136990963,0.9365191469037868,conceptual
model_gain,all_primary,E_vs_U_grouped_10fold_RMSE,0.0016798097915788,0.0013867493027011,0.001962033733249,0.0026665312613258,0.0023073216870947,0.0030647371810034,True,,,,,,,
model_gain,all_primary,E_vs_U_grouped_10fold_predictive_R2,0.0031969320991318,0.002626456457048,0.003727438552,0.0049367170673443,0.0042607198097952,0.0056783129974956,True,,,,,,,
model_gain,all_primary,E_vs_U_temporal_70_30_RMSE,0.0009347489811033,0.0001589957603515,0.0018155241047767,0.0023218194858928,0.0015608682520505,0.0031089354023393,True,,,,,,,
model_gain,all_primary,E_vs_U_temporal_70_30_predictive_R2,0.001672659687636,0.0002855756764396,0.0032396589594533,0.0042834080677893,0.0028574658137549,0.0057800375200942,True,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_two_event_acute_grouped_10fold,1.20447407971902e-05,-0.0028612312224046,0.0029162848276587,-0.0015258111309768,-0.0035451188560508,0.0003146771657308,False,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_two_event_acute_temporal_70_30,-0.0064664525035117,-0.0178393877407292,0.0043762951984343,0.0001381288492718,-0.0002539538994254,0.0005001662248699,False,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_two_event_persistence_grouped_10fold,0.0012860178978374,-0.0030329057853042,0.005521025809432,0.0024975067459667,-0.0045585667040871,0.0093226683712263,True,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_two_event_persistence_temporal_70_30,-0.0192055778662048,-0.0349415406026763,-0.0025818312678773,0.006621592589635,-0.0027557669251991,0.0160367883322011,False,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_three_event_acute_grouped_10fold,0.0713115003011237,-0.3987005830081674,0.8829271446874378,0.2367331182995479,-0.0556485545042361,0.5387537244939171,True,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_three_event_acute_temporal_70_30,-7.280689764596094,-41.09549394417578,-2.883514813496507,0.2589919806035279,-0.0474150231087408,0.525337448649585,False,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_three_event_persistence_grouped_10fold,-0.104614596233702,-0.226750876110046,-0.0340791836962258,0.0136837521827213,-0.1600257865184172,0.174674428448818,False,,,,,,,
prior_response_gain,all_primary,P1_vs_P0_three_event_persistence_temporal_70_30,-0.5785396147886241,-2.4179117551525593,-0.2002991720236761,0.1430673353502665,-0.1669381104582486,0.3328062727120232,False,,,,,,,
