cohort,record_type,model,formula,n_episodes,n_persons,n_observations,n_fixed_effects,n_parameters,log_likelihood,AIC,BIC,fixed_variance,person_variance,episode_variance,residual_variance,marginal_R2,conditional_R2,converged,optimizer,optimizer_message,lrt_df,lrt_statistic,lrt_p_value,coefficient,estimate
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[year2]:event[health],0.2706857673888279
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[year4]:event[unemployment],0.2020758591514843
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[year4]:event[caregiving],0.2762405047228535
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[year4]:event[health],0.33116072254911
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,age_centered,-0.0054165040579395
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,calendar_centered,0.020315080123558
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,sex[female],0.2105258955240348
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,education[other_qualification],0.0397381646246698
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,education[no_qualification],0.0626484401876286
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,education[unknown],0.0593109674718428
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[family_care],0.0566496232252871
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[long_term_sick],0.0378772051655999
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[other],0.7610872748878803
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[retired],-0.0193086197150905
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[self_employed],0.0432376691552301
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[student],0.1727468536087254
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[unemployed],0.2993693468471253
UKHLS,fixed_effect,E,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[unknown],0.2037508635346483
HRS,model,U,z_outcome ~ time_point + event_type + calendar_time + baseline covariates + (1|person) + (1|episode),16938.0,13073.0,68511.0,20.0,23.0,-84553.80377748611,169153.60755497223,169363.70679566413,0.0772434040341544,0.3980256536325525,0.0381180512209956,0.4969447643203232,0.0764534962050535,0.508137100790046,True,L-BFGS-B (best of five frozen starts),CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,
HRS,model,E,z_outcome ~ time_point * event_type + calendar_time + baseline covariates + (1|person) + (1|episode),16938.0,13073.0,68511.0,32.0,35.0,-84276.15470261613,168622.30940523226,168942.02564106774,0.0818864477918438,0.3968666534999785,0.0389700385239793,0.492064376588355,0.0810927511596109,0.5127050309152252,True,L-BFGS-B (best of five frozen starts),CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,
HRS,comparison,U_vs_E,Nested ML likelihood-ratio comparison on identical observations,,,,12.0,,555.2981497399742,-531.2981497399742,-421.6811545963865,,,,,0.0046392549545574,0.0045679301251791,True,,,12.0,555.2981497399742,3.670303637509762e-111,,
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,Intercept,-0.4834369093891634
