record_type,event_type,time_point,contrast,estimate,ci_lower,ci_upper,bootstrap_success,cohort,analysis_sample,outcome_scale,n_episodes,n_persons,n_observations,bootstrap_attempts,model,notes
contrast,caregiving,,persistence_pre1_to_year2,0.029162674633453,0.0149675697126956,0.0456445240828306,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,caregiving,,persistence_pre1_to_year4,0.0399850839629654,0.0176269198096387,0.060900863147169,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,health,pre2,,-0.2624950174927394,-0.2938244437349185,-0.2260656473753287,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,health,pre1,,-0.2402605060404118,-0.2733286592840225,-0.2034266228964897,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,health,event,,-0.1140374918563272,-0.1445256671846956,-0.0770989094023655,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,health,year2,,-0.1579717231478239,-0.1924509826428788,-0.1221178140512595,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,health,year4,,-0.1453552042511898,-0.1771964440106443,-0.1071300101396968,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,health,,pretrend_pre2_to_pre1,0.0222345114523276,0.0054320571676372,0.0385880825792453,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,health,,acute_pre1_to_event,0.1262230141840845,0.1106953454569029,0.1425508395815372,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,health,,early_recovery_event_to_year2,-0.0439342312914965,-0.0634359895564833,-0.0275097511614219,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,health,,long_recovery_event_to_year4,-0.0313177123948625,-0.0542196465075144,-0.0102287816082652,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,health,,persistence_pre1_to_year2,0.0822887828925879,0.0655735374920449,0.0998825787432256,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,health,,persistence_pre1_to_year4,0.0949053017892219,0.0751361021799854,0.1169878517149684,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,Intercept,-0.0172138573325998,-0.0775320974054932,0.0493519275190875,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[pre2],-0.2011817119595854,-0.2576756861931791,-0.1417905492580446,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[event],0.5191595578962696,0.4475217112829777,0.5909570237665371,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year2],-0.1883969844962399,-0.2597052364759271,-0.1120099914516274,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year4],-0.2362554207598881,-0.3278249504411336,-0.1535315265085213,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,event[unemployment],-0.1119650083846434,-0.1690896888922821,-0.0512787385268434,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,event[caregiving],-0.2447533233606503,-0.3009438942095696,-0.1904126475602995,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,event[health],-0.2230466487078119,-0.2759876093945318,-0.1690750310581017,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[pre2]:event[unemployment],0.1834300484979483,0.1101408659393833,0.2463431993959588,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[pre2]:event[caregiving],0.1947339451472191,0.1366601582568079,0.2530111171960736,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[pre2]:event[health],0.1789472005072577,0.1188015506073997,0.2395082411330981,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[event]:event[unemployment],-0.2024567285690606,-0.2803999693363112,-0.1228790396811398,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[event]:event[caregiving],-0.4661019059225207,-0.5380868520829746,-0.3919706647600738,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[event]:event[health],-0.392936543712185,-0.4708140443020186,-0.3150828319201936,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year2]:event[unemployment],0.141704975299322,0.0534268079416974,0.2246739617004905,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year2]:event[caregiving],0.217559659129693,0.1386850610203763,0.2934132761823161,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year2]:event[health],0.2706857673888279,0.1920103196176227,0.3460949097886516,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year4]:event[unemployment],0.2020758591514843,0.0983986077893039,0.3055388338828884,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year4]:event[caregiving],0.2762405047228535,0.1915188067600186,0.3634778433752875,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,time[year4]:event[health],0.33116072254911,0.2426766905881755,0.4246446493818747,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,age_centered,-0.0054165040579395,-0.0062011850068919,-0.0046157655119019,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,calendar_centered,0.020315080123558,0.0182893938515332,0.0221229174929906,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,sex[female],0.2105258955240348,0.1925968006057051,0.2315049602433262,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,education[other_qualification],0.0397381646246698,0.0141476624445109,0.0649508689872754,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,education[no_qualification],0.0626484401876286,0.0326351961353926,0.0935094300294276,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,education[unknown],0.0593109674718428,0.0308703961109416,0.0861202034700783,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[family_care],0.0566496232252871,-0.0464978982012195,0.1624269511192997,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[long_term_sick],0.0378772051655999,-0.0188748066009559,0.0896698486370132,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[other],0.7610872748878803,0.6966879877520193,0.8244578607502102,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[retired],-0.0193086197150905,-0.0507438376607086,0.0096725513257867,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[self_employed],0.0432376691552301,0.0151104997813844,0.0678273055821818,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[student],0.1727468536087254,0.1299992166604411,0.2193897173143771,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[unemployed],0.2993693468471253,0.252582302216095,0.3409542248850408,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
fixed_effect,,,socio[unknown],0.2037508635346483,0.1150033967915798,0.2979457586521684,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,widowhood,pre2,,-0.5677791593236504,-0.6099596154654706,-0.5297863804018917,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,widowhood,pre1,,-0.4860080863535121,-0.5261632720510389,-0.4507483173512702,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,widowhood,event,,-0.1712073759442152,-0.2117433447859085,-0.1325826119084828,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,widowhood,year2,,-0.4395169738432965,-0.4818035029373331,-0.4005380089234667,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,widowhood,year4,,-0.5117438778233317,-0.5559197483252789,-0.4707209441789927,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,widowhood,,pretrend_pre2_to_pre1,0.0817710729701382,0.0567310789350113,0.1074442907763171,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,widowhood,,acute_pre1_to_event,0.3148007104092969,0.2881667223752648,0.341106673432286,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,widowhood,,early_recovery_event_to_year2,-0.2683095978990813,-0.2946644265305586,-0.2394264574395304,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,widowhood,,long_recovery_event_to_year4,-0.3405365018791165,-0.3742676983455903,-0.3117698655444591,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,widowhood,,persistence_pre1_to_year2,0.0464911125102155,0.0160470050142846,0.0775979965852401,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,widowhood,,persistence_pre1_to_year4,-0.0257357914698196,-0.0586768907441034,0.0057076432827044,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,unemployment,pre2,,-0.5697889324507792,-0.6162317226056098,-0.519547807280951,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,unemployment,pre1,,-0.521018061572458,-0.5681902239764616,-0.4782112068873412,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,unemployment,event,,-0.4183146042931114,-0.4612099774126441,-0.3737855072934581,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,unemployment,year2,,-0.5199510015389116,-0.5741056670512948,-0.4752308890938267,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,unemployment,year4,,-0.5627611126111662,-0.6153881062427909,-0.5116812127276251,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,unemployment,,pretrend_pre2_to_pre1,0.0487708708783211,0.0054968224804626,0.0900271748986868,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,unemployment,,acute_pre1_to_event,0.1027034572793466,0.0630910692628929,0.1411835776694097,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,unemployment,,early_recovery_event_to_year2,-0.1016363972458002,-0.1428374109129803,-0.0603299551883395,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,unemployment,,long_recovery_event_to_year4,-0.1444465083180548,-0.1921964216371967,-0.0909943589974204,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,unemployment,,persistence_pre1_to_year2,0.0010670600335464,-0.0409441702359623,0.0464060597014308,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,unemployment,,persistence_pre1_to_year4,-0.0417430510387081,-0.0913243451111978,0.0040140869424948,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,caregiving,pre2,,-0.573973711609781,-0.6155446180545063,-0.5329030321206979,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,caregiving,pre1,,-0.5775492394000746,-0.6198984384793588,-0.5414845416910199,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,caregiving,event,,-0.5177607985861341,-0.5576944717369657,-0.479600284981227,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,caregiving,year2,,-0.5576052623396697,-0.5973292183104341,-0.5166408828584503,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,caregiving,year4,,-0.6308185605839894,-0.6744591998941893,-0.5914217921111531,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,caregiving,,pretrend_pre2_to_pre1,-0.0035755277902936,-0.034108980830215,0.0272476477035362,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,caregiving,,acute_pre1_to_event,0.0597884408139405,0.0299286109174463,0.0874803237282081,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,caregiving,,early_recovery_event_to_year2,-0.0398444637535355,-0.0701570198939233,-0.0084609026501287,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,caregiving,,long_recovery_event_to_year4,-0.1130577619978552,-0.1473419158909087,-0.082935787327309,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,caregiving,,persistence_pre1_to_year2,0.0199439770604049,-0.0111020434097969,0.051487723027446,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,caregiving,,persistence_pre1_to_year4,-0.0532693211839147,-0.0874496153987879,-0.0238659462601622,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,health,pre2,,-0.4097078914399171,-0.454921542747265,-0.3683664663220674,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,health,pre1,,-0.4080104445758342,-0.4479409761103886,-0.369371655264741,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,health,event,,-0.1690891530620488,-0.2095860849431587,-0.1299235117987426,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,health,year2,,-0.1327253141721195,-0.1737099652736191,-0.0928285878722527,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
estimated_mean,health,year4,,-0.2283186875668699,-0.2792405600421671,-0.1858336414962308,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,health,,pretrend_pre2_to_pre1,0.0016974468640829,-0.0292275333498638,0.029576741309562,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,health,,acute_pre1_to_event,0.2389212915137853,0.2138391152802347,0.2668346052663612,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,health,,early_recovery_event_to_year2,0.0363638388899292,0.0060610343601997,0.0632591632270864,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,health,,long_recovery_event_to_year4,-0.059229534504821,-0.0934796491441625,-0.0265519745930262,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,health,,persistence_pre1_to_year2,0.2752851304037146,0.2429104597460558,0.3038822798144449,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
contrast,health,,persistence_pre1_to_year4,0.1796917570089642,0.1449546461401565,0.2145498551500849,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,Intercept,-0.4860080863535121,-0.5261632720510389,-0.4507483173512702,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[pre2],-0.0817710729701382,-0.1074442907763171,-0.0567310789350113,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[event],0.3148007104092969,0.2881667223752648,0.341106673432286,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year2],0.0464911125102155,0.0160470050142846,0.0775979965852401,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year4],-0.0257357914698196,-0.0586768907441034,0.0057076432827044,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,event[unemployment],-0.0350099752189459,-0.0794806118250752,0.0118009463632349,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,event[caregiving],-0.0915411530465625,-0.1317975956995852,-0.0537868384270986,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,event[health],0.0779976417776779,0.0468217807239298,0.109649563194326,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[pre2]:event[unemployment],0.033000202091817,-0.0185341789671944,0.0830963382321019,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[pre2]:event[caregiving],0.0853466007604319,0.0457024218302781,0.1273852999375665,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[pre2]:event[health],0.0800736261060553,0.0389135483452383,0.1205134896808782,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[event]:event[unemployment],-0.2120972531299502,-0.2594874425593488,-0.1595114218534609,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[event]:event[caregiving],-0.2550122695953564,-0.2926686672807248,-0.2146549466518819,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[event]:event[health],-0.0758794188955115,-0.1143173222066187,-0.0395804654565681,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year2]:event[unemployment],-0.0454240524766691,-0.0965632682997334,0.0109690936601027,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year2]:event[caregiving],-0.0265471354498106,-0.0693751861690333,0.0166148873223863,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year2]:event[health],0.228794017893499,0.1849242791754064,0.270090621549471,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year4]:event[unemployment],-0.0160072595688885,-0.0747712101604164,0.0439795000260823,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year4]:event[caregiving],-0.0275335297140951,-0.0742353181027093,0.0148810033603762,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,time[year4]:event[health],0.2054275484787839,0.1607580284465434,0.253423268884124,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,age_centered,-0.0098884625494636,-0.0112872562451283,-0.0084046054719282,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,calendar_centered,0.0048147485072661,0.0031987436405996,0.0064306152913415,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,sex[female],0.115640956725261,0.090987431680217,0.1406932651457259,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,education[other_qualification],0.2245038063949189,0.1943915910862604,0.2534847626544771,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,education[no_qualification],0.5102197775620569,0.4727531225436851,0.5463217123358869,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,education[unknown],0.101053599624068,-0.2875725879350952,0.6020699262301359,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,socio[disabled],0.4660279234816472,0.4063569268350744,0.5313316062698914,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
fixed_effect,,,socio[not_labor_force],0.1574406124903373,0.1206429414701905,0.1990084896116361,500.0,HRS,primary_isolated,cohort_pre1_SD,16938,13073,68511.0,531.0,E,
