record_type,analysis,n_events,observed_proportion,notes,n_persons,observed_events,model_converged,n_predictors,weight_min,weight_p01,weight_median,weight_p99,weight_max,untruncated_weight_min,untruncated_weight_p01,untruncated_weight_median,untruncated_weight_p99,untruncated_weight_max,untruncated_weight_mean,untruncated_weight_sd,untruncated_weight_sum,truncated_weight_mean,truncated_weight_sd,truncated_weight_sum,effective_sample_size,event_type,outcome,estimate,sum_weights,cohort
weighted_estimate,year2_IPOW_truncated_1_99,3993,,,,,,,,,,,,,,,,,,,,,,,3963.888851620312,health,persistence_2y_z,0.2609651347950207,3781.90309754363,HRS
weighted_estimate,year2_complete_four_points,2499,,,,,,,,,,,,,,,,,,,,,,,2499.0,widowhood,persistence_2y_z,0.0266207571993571,2499.0,HRS
weighted_estimate,year2_complete_four_points,1132,,,,,,,,,,,,,,,,,,,,,,,1132.0,unemployment,persistence_2y_z,0.0024317755175287,1132.0,HRS
weighted_estimate,year2_complete_four_points,1946,,,,,,,,,,,,,,,,,,,,,,,1946.0,caregiving,persistence_2y_z,0.0207471522742496,1946.0,HRS
weighted_estimate,year2_complete_four_points,2396,,,,,,,,,,,,,,,,,,,,,,,2396.0,health,persistence_2y_z,0.2290145230570132,2396.0,HRS
attrition_model,year4,16938,0.5396150667138977,,13073.0,9140.0,True,21.0,0.6948481038950951,0.6948481038950951,0.9510960246030904,1.6914696619696254,1.6914696619696254,0.6219226007976254,0.6948481038950951,0.9510960246030904,1.6914696619696254,2.507381818761342,0.9966012297451596,0.2141384008513883,9108.93523987076,0.9949063105549928,0.2061169621218781,9093.443678472637,8763.891981576036,,,,,HRS
weighted_estimate,year4_unweighted,2861,,,,,,,,,,,,,,,,,,,,,,,2861.0,widowhood,persistence_4y_z,-0.0149136432123588,2861.0,HRS
weighted_estimate,year4_unweighted,1334,,,,,,,,,,,,,,,,,,,,,,,1334.0,unemployment,persistence_4y_z,-0.0319849574441968,1334.0,HRS
weighted_estimate,year4_unweighted,2231,,,,,,,,,,,,,,,,,,,,,,,2231.0,caregiving,persistence_4y_z,-0.0549073329986512,2231.0,HRS
weighted_estimate,year4_unweighted,2714,,,,,,,,,,,,,,,,,,,,,,,2714.0,health,persistence_4y_z,0.1709070470760722,2714.0,HRS
weighted_estimate,year4_IPOW_truncated_1_99,2861,,,,,,,,,,,,,,,,,,,,,,,2743.173712571818,widowhood,persistence_4y_z,-0.0265596616579911,3019.793028580427,HRS
weighted_estimate,year4_IPOW_truncated_1_99,1334,,,,,,,,,,,,,,,,,,,,,,,1297.9663027820286,unemployment,persistence_4y_z,-0.0468981522418828,1260.470108943919,HRS
weighted_estimate,year4_IPOW_truncated_1_99,2231,,,,,,,,,,,,,,,,,,,,,,,2176.7600935927426,caregiving,persistence_4y_z,-0.0710341410283,1991.992119498361,HRS
weighted_estimate,year4_IPOW_truncated_1_99,2714,,,,,,,,,,,,,,,,,,,,,,,2597.520104823001,health,persistence_4y_z,0.1498917384361354,2821.188421449928,HRS
weighted_estimate,year4_complete_four_points,2499,,,,,,,,,,,,,,,,,,,,,,,2499.0,widowhood,persistence_4y_z,-0.0137693571720813,2499.0,HRS
weighted_estimate,year4_complete_four_points,1132,,,,,,,,,,,,,,,,,,,,,,,1132.0,unemployment,persistence_4y_z,-0.0494461021897503,1132.0,HRS
weighted_estimate,year4_complete_four_points,1946,,,,,,,,,,,,,,,,,,,,,,,1946.0,caregiving,persistence_4y_z,-0.0594122996944422,1946.0,HRS
weighted_estimate,year4_complete_four_points,2396,,,,,,,,,,,,,,,,,,,,,,,2396.0,health,persistence_4y_z,0.1752075991615109,2396.0,HRS
