record_type,cohort,validation,outcome_metric,outcome_formulation,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,n_train_min,n_train_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
comparison,HRS,grouped_10fold,acute,change,,B0,B3,B3_minus_B0,RMSE,0.1105862791474724,0.084143613062807,0.1346608626365726,0.0132571607700737,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,change,,B0,B3,B3_minus_B0,MAE,0.0135295224498415,-0.0124749663627213,0.0347436373220989,0.0121309392328399,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,change,,B0,B3,B3_minus_B0,predictive_R2,0.2032566119275761,0.1621625641713076,0.2414287874931356,0.0202101361252207,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,change,,B0,B3,B3_minus_B0,mean_log_predictive_density,0.1140941506523589,0.0888697940441717,0.1384057451006347,0.0126840001650783,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,change,,B3,B4,B4_minus_B3,RMSE,-0.0007970629132877,-0.0017239193151735,0.0002014747451635,0.0004796754626281,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,change,,B3,B4,B4_minus_B3,MAE,-0.0009160886283948,-0.0017637983180153,-2.8823687614146796e-05,0.0004459710217878,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,change,,B3,B4,B4_minus_B3,predictive_R2,-0.0013824136213311,-0.0030133720300578,0.0003491087065247,0.0008371007769032,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,change,,B3,B4,B4_minus_B3,mean_log_predictive_density,-0.0009046186401011,-0.0019236485692665,0.0001993977145931,0.0005337966012329,1166,1049,1050,,500.0,500.0,
model_metric,HRS,grouped_10fold,acute,ancova_level,B0,,,,RMSE,0.9185420021530304,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B0,,,,MAE,0.741343093669634,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B0,,,,predictive_R2,0.2588053347842858,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B0,,,,mean_log_predictive_density,-1.334729655032682,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B0,,,,calibration_intercept,0.0065369607131861,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B0,,,,calibration_slope,0.971797553128022,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B1,,,,RMSE,0.8923773925183381,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B1,,,,MAE,0.7112539652312069,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B1,,,,predictive_R2,0.3004297000794702,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B1,,,,mean_log_predictive_density,-1.3061161654195106,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B1,,,,calibration_intercept,0.0051201086205167,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B1,,,,calibration_slope,0.9756598731282804,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B2,,,,RMSE,0.9193390650663182,,,,1166,1049,1050,,,,
