record_type,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,ridge_alpha_min,ridge_alpha_median,ridge_alpha_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,acute,change,context,R4_joint_residual,,,,RMSE,1.0097411209145413,,,,1166,0.0,10.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,context,R4_joint_residual,,,,MAE,0.7510253230133038,,,,1166,0.0,10.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,context,R4_joint_residual,,,,predictive_R2,0.0378382583982083,,,,1166,0.0,10.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,context,R4_joint_residual,,,,mean_log_predictive_density,-1.42987723058983,,,,1166,0.0,10.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,context,R4_joint_residual,,,,calibration_intercept,0.040851456834617,,,,1166,0.0,10.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,context,R4_joint_residual,,,,calibration_slope,0.8061652038194256,,,,1166,0.0,10.0,100.0,,,,
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,RMSE,0.0012177455167909,-0.0034613215137904,0.0057663352485022,0.0023083511640995,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,MAE,-0.0013339927220785,-0.0057130490498579,0.0027692115052106,0.0020873138136753,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,predictive_R2,0.002363888700279,-0.0067893567899525,0.0112828131627946,0.0044730012002448,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,mean_log_predictive_density,0.0011839905740487,-0.0036827720586253,0.0057541000305439,0.0023011036749064,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,RMSE,0.0184333245230481,0.0054577741548382,0.0331443280683959,0.0069443318514573,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,MAE,0.005200590814017,-0.0052886826216733,0.0156621250916974,0.0053523882652519,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,predictive_R2,0.0354833162766838,0.0108059984055997,0.0635683408819913,0.0131371409025124,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,mean_log_predictive_density,0.0179774253659212,0.0051959175844877,0.0327328109291282,0.0069084617831177,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,RMSE,0.0164662156481927,0.002372489741739,0.0303968754225125,0.0074191165052649,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,MAE,0.0048342069548522,-0.0056592439379862,0.0154155642328307,0.0054164979645291,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,predictive_R2,0.031727287447383,0.0046836907481327,0.0580659941415894,0.0141063833695257,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,mean_log_predictive_density,0.0158759516322224,0.0017346954075439,0.0296487237899341,0.0074997298205533,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,RMSE,0.0007617914390194,-0.0036944789600421,0.0049969916856089,0.002279237706191,1166,,,,,500.0,500.0,paired person-cluster bootstrap
