display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes,time_point,n_episodes,n_observations
12,UKHLS,caregiving,UKHLS,,main trajectory analysis,not applicable,-0.2619671806932501,-0.294639447394063,-0.2284117692309573,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,23,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,38438,143058.0
13,UKHLS,caregiving,UKHLS,,main trajectory analysis,not applicable,-0.2089095287195013,-0.2418412710406519,-0.1749316845827226,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,24,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,38438,143058.0
14,UKHLS,caregiving,UKHLS,,main trajectory analysis,not applicable,-0.232804506059797,-0.2668854826341953,-0.1975473504965327,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,25,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,38438,143058.0
15,UKHLS,caregiving,UKHLS,,main trajectory analysis,not applicable,-0.2219820967302847,-0.2581801679387355,-0.1854170160095154,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,26,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,38438,143058.0
16,UKHLS,health,UKHLS,,main trajectory analysis,not applicable,-0.2624950174927394,-0.2938244437349185,-0.2260656473753287,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,33,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,38438,143058.0
17,UKHLS,health,UKHLS,,main trajectory analysis,not applicable,-0.2402605060404118,-0.2733286592840225,-0.2034266228964897,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,34,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,38438,143058.0
18,UKHLS,health,UKHLS,,main trajectory analysis,not applicable,-0.1140374918563272,-0.1445256671846956,-0.0770989094023655,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,35,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,38438,143058.0
19,UKHLS,health,UKHLS,,main trajectory analysis,not applicable,-0.1579717231478239,-0.1924509826428788,-0.1221178140512595,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,36,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,38438,143058.0
20,UKHLS,health,UKHLS,,main trajectory analysis,not applicable,-0.1453552042511898,-0.1771964440106443,-0.1071300101396968,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,37,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,38438,143058.0
21,HRS,widowhood,HRS,,main trajectory analysis,not applicable,-0.5677791593236504,-0.6099596154654706,-0.5297863804018917,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,78,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,16938,68511.0
