display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes
1,UKHLS,Event specific minus universal,UKHLS,,descriptive,grouped_10fold,0.0031969320991318,0.002626456457048,0.003727438552,24781,source_data/analysis_outputs/NMH_confirmatory/05_model_prediction_metrics.csv,4,"{""cohort"": ""UKHLS"", ""comparison"": ""E_minus_U"", ""metric"": ""predictive_R2"", ""record_type"": ""comparison"", ""validation"": ""grouped_10fold""}",improvement,n_persons,ci_lower;ci_upper,incremental predictive R2,
2,UKHLS,Event specific minus universal,UKHLS,,descriptive,temporal_70_30,0.001672659687636,0.0002855756764396,0.0032396589594533,4851,source_data/analysis_outputs/NMH_confirmatory/05_model_prediction_metrics.csv,12,"{""cohort"": ""UKHLS"", ""comparison"": ""E_minus_U"", ""metric"": ""predictive_R2"", ""record_type"": ""comparison"", ""validation"": ""temporal_70_30""}",improvement,n_persons,ci_lower;ci_upper,incremental predictive R2,
3,HRS,Event specific minus universal,HRS,,descriptive,grouped_10fold,0.0049367170673443,0.0042607198097952,0.0056783129974956,13073,source_data/analysis_outputs/NMH_confirmatory/05_model_prediction_metrics.csv,20,"{""cohort"": ""HRS"", ""comparison"": ""E_minus_U"", ""metric"": ""predictive_R2"", ""record_type"": ""comparison"", ""validation"": ""grouped_10fold""}",improvement,n_persons,ci_lower;ci_upper,incremental predictive R2,
4,HRS,Event specific minus universal,HRS,,descriptive,temporal_70_30,0.0042834080677893,0.0028574658137549,0.0057800375200942,3440,source_data/analysis_outputs/NMH_confirmatory/05_model_prediction_metrics.csv,28,"{""cohort"": ""HRS"", ""comparison"": ""E_minus_U"", ""metric"": ""predictive_R2"", ""record_type"": ""comparison"", ""validation"": ""temporal_70_30""}",improvement,n_persons,ci_lower;ci_upper,incremental predictive R2,
