display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes
1,UKHLS persistence_2y_z,caregiving unweighted,UKHLS,persistence_2y_z,descriptive,not applicable,0.0274301772958702,,,10706,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,2,"{""analysis"": ""year2_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
2,UKHLS persistence_2y_z,health unweighted,UKHLS,persistence_2y_z,descriptive,not applicable,0.078811460836588,,,9788,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,3,"{""analysis"": ""year2_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
3,UKHLS persistence_2y_z,unemployment unweighted,UKHLS,persistence_2y_z,descriptive,not applicable,-0.0669898276434212,,,1773,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,4,"{""analysis"": ""year2_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
4,UKHLS persistence_2y_z,widowhood unweighted,UKHLS,persistence_2y_z,descriptive,not applicable,-0.2089606078938573,,,576,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,5,"{""analysis"": ""year2_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
5,UKHLS persistence_2y_z,caregiving IPOW_truncated_1_99,UKHLS,persistence_2y_z,descriptive,not applicable,0.0220521599106793,,,10706,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,6,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
6,UKHLS persistence_2y_z,health IPOW_truncated_1_99,UKHLS,persistence_2y_z,descriptive,not applicable,0.0775758370832036,,,9788,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,7,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
7,UKHLS persistence_2y_z,unemployment IPOW_truncated_1_99,UKHLS,persistence_2y_z,descriptive,not applicable,-0.0711351444252242,,,1773,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,8,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
8,UKHLS persistence_2y_z,widowhood IPOW_truncated_1_99,UKHLS,persistence_2y_z,descriptive,not applicable,-0.2025295640298664,,,576,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,9,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
9,UKHLS persistence_2y_z,caregiving complete_four_points,UKHLS,persistence_2y_z,descriptive,not applicable,0.021536318289556,,,5220,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,10,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
10,UKHLS persistence_2y_z,health complete_four_points,UKHLS,persistence_2y_z,descriptive,not applicable,0.0784550404366958,,,5383,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,11,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
