display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes,contrast,representation,variant,event_family,n_complete,temporal_cutoff
1,Without current state,between_history_sd nonoverlap,HRS,acute,secondary,grouped_cv,-0.009419539023832,-0.0629434326611997,0.0277983099611762,188,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,220,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""07abd5a8fb923aa4"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M1-M0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M1-M0,between_history_sd,nonoverlap,multiple,188,2016-05-15
2,After current state,between_history_sd nonoverlap,HRS,acute,secondary,grouped_cv,-0.0070326263474349,-0.0464242026619821,0.0211402793080314,188,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,226,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""07abd5a8fb923aa4"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M3-M2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M3-M2,between_history_sd,nonoverlap,multiple,188,2016-05-15
3,Without current state,between_history_sd nonoverlap,HRS,acute,secondary,temporal,0.0080648485412471,0.0004811604155316,0.0162813854900453,51,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,256,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""07abd5a8fb923aa4"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M1-M0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M1-M0,between_history_sd,nonoverlap,multiple,188,2016-05-15
4,After current state,between_history_sd nonoverlap,HRS,acute,secondary,temporal,0.0114685220398988,-0.0011165275254779,0.0231212509300145,51,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,262,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""07abd5a8fb923aa4"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M3-M2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M3-M2,between_history_sd,nonoverlap,multiple,188,2016-05-15
5,Without current state,mean nonoverlap,HRS,acute,secondary,grouped_cv,-0.0158574520283081,-0.0361143700805509,0.0023488713697294,188,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,508,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""51e3fae809f13d7a"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M1-M0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M1-M0,mean,nonoverlap,multiple,188,2016-05-15
6,After current state,mean nonoverlap,HRS,acute,secondary,grouped_cv,-0.0014315220403275,-0.0292699543322759,0.0294819385279451,188,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,514,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""51e3fae809f13d7a"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M3-M2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M3-M2,mean,nonoverlap,multiple,188,2016-05-15
7,Without current state,mean nonoverlap,HRS,acute,secondary,temporal,0.0058350318031843,-0.009258159331124,0.0230776105640107,51,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,544,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""51e3fae809f13d7a"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M1-M0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M1-M0,mean,nonoverlap,multiple,188,2016-05-15
8,After current state,mean nonoverlap,HRS,acute,secondary,temporal,0.0179298550198034,-0.0277444121262699,0.0670184115966285,51,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,550,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""51e3fae809f13d7a"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M3-M2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M3-M2,mean,nonoverlap,multiple,188,2016-05-15
9,Without current state,most_recent nonoverlap,HRS,acute,secondary,grouped_cv,0.0007841715253102,-0.0414022171394168,0.0372491147398153,188,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,796,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""f4cd2053de67cb3b"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M1-M0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M1-M0,most_recent,nonoverlap,multiple,188,2016-05-15
10,After current state,most_recent nonoverlap,HRS,acute,secondary,grouped_cv,0.0081019353071671,-0.0308249731707892,0.0447267210855994,188,source_data/analysis_outputs/NMH_registered_extension/03_multi_event_acute_history_results.csv,802,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""f4cd2053de67cb3b"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""M3-M2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,M3-M2,most_recent,nonoverlap,multiple,188,2016-05-15
