display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes
1,UKHLS,all_collapsed_candidate_episodes,UKHLS,,descriptive,not applicable,62605,,,34575.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,0,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""all_collapsed_candidate_episodes""}",n_events,n_persons,,episodes,Collapsed episode counts.
2,UKHLS,any_primary_episode,UKHLS,,descriptive,not applicable,44949,,,27892.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,1,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""any_primary_episode""}",n_events,n_persons,,episodes,Collapsed episode counts.
3,UKHLS,isolated_primary_episode,UKHLS,,descriptive,not applicable,43249,,,27331.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,2,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""isolated_primary_episode""}",n_events,n_persons,,episodes,Collapsed episode counts.
4,UKHLS,valid_pre1_and_event_self_report,UKHLS,,descriptive,not applicable,38442,,,24784.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,3,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""valid_pre1_and_event_self_report""}",n_events,n_persons,,episodes,Collapsed episode counts.
5,UKHLS,valid_age_and_binary_sex,UKHLS,,descriptive,not applicable,38438,,,24781.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,4,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""valid_age_and_binary_sex""}",n_events,n_persons,,episodes,Collapsed episode counts.
6,UKHLS,has_pre2,UKHLS,,descriptive,not applicable,30384,,,20109.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,5,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""has_pre2""}",n_events,n_persons,,episodes,Collapsed episode counts.
7,UKHLS,has_uncensored_year2,UKHLS,,descriptive,not applicable,22845,,,17828.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,6,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""has_uncensored_year2""}",n_events,n_persons,,episodes,Collapsed episode counts.
8,UKHLS,has_uncensored_year4,UKHLS,,descriptive,not applicable,12957,,,12100.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,7,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""has_uncensored_year4""}",n_events,n_persons,,episodes,Collapsed episode counts.
9,UKHLS,complete_four_timepoints,UKHLS,,descriptive,not applicable,11870,,,11116.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,8,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""complete_four_timepoints""}",n_events,n_persons,,episodes,Collapsed episode counts.
10,HRS,all_collapsed_candidate_episodes,HRS,,descriptive,not applicable,61970,,,28201.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,18,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""all_collapsed_candidate_episodes""}",n_events,n_persons,,episodes,Collapsed episode counts.
11,HRS,any_primary_episode,HRS,,descriptive,not applicable,19677,,,14896.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,19,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""any_primary_episode""}",n_events,n_persons,,episodes,Collapsed episode counts.
12,HRS,isolated_primary_episode,HRS,,descriptive,not applicable,18976,,,14460.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,20,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""isolated_primary_episode""}",n_events,n_persons,,episodes,Collapsed episode counts.
13,HRS,valid_pre1_and_event_self_report,HRS,,descriptive,not applicable,16938,,,13073.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,21,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""valid_pre1_and_event_self_report""}",n_events,n_persons,,episodes,Collapsed episode counts.
14,HRS,valid_age_and_binary_sex,HRS,,descriptive,not applicable,16938,,,13073.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,22,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""valid_age_and_binary_sex""}",n_events,n_persons,,episodes,Collapsed episode counts.
15,HRS,has_pre2,HRS,,descriptive,not applicable,13370,,,10530.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,23,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""has_pre2""}",n_events,n_persons,,episodes,Collapsed episode counts.
16,HRS,has_uncensored_year2,HRS,,descriptive,not applicable,12125,,,10178.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,24,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""has_uncensored_year2""}",n_events,n_persons,,episodes,Collapsed episode counts.
17,HRS,has_uncensored_year4,HRS,,descriptive,not applicable,9140,,,8211.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,25,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""has_uncensored_year4""}",n_events,n_persons,,episodes,Collapsed episode counts.
18,HRS,complete_four_timepoints,HRS,,descriptive,not applicable,7973,,,7248.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,26,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""complete_four_timepoints""}",n_events,n_persons,,episodes,Collapsed episode counts.
19,UKHLS,isolated_primary,UKHLS,,descriptive,not applicable,43249,,,27331.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,0,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
20,UKHLS,compound_primary,UKHLS,,descriptive,not applicable,1700,,,1648.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,1,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
21,UKHLS,primary_with_any_secondary_concurrent,UKHLS,,descriptive,not applicable,3077,,,2865.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,2,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
22,UKHLS,year2_censored_by_later_primary,UKHLS,,descriptive,not applicable,8713,,,6604.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,3,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
23,UKHLS,year4_censored_by_later_primary,UKHLS,,descriptive,not applicable,13265,,,8749.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,4,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
24,HRS,isolated_primary,HRS,,descriptive,not applicable,18976,,,14460.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,17,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
25,HRS,compound_primary,HRS,,descriptive,not applicable,701,,,696.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,18,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
26,HRS,primary_with_any_secondary_concurrent,HRS,,descriptive,not applicable,5846,,,5351.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,19,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
27,HRS,year2_censored_by_later_primary,HRS,,descriptive,not applicable,3677,,,3310.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,20,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
28,HRS,year4_censored_by_later_primary,HRS,,descriptive,not applicable,5877,,,4689.0,source_data/analysis_outputs/NMH_confirmatory/02_event_episode_counts.csv,21,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""episode_status""}",n_episodes,n_persons,,episodes,
